CUSTOMER_CDE,SNAPSHOT,SEGMENTATION,TOI_DP,TOI_LN,TOI_FEE,TOI_FX,TOI_TOTAL,ACTUAL_BAL_LCL_D0,AVG_AMT_LCL_D0,ACTUAL_BAL_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,ACTUAL_BAL_LCL_SAVING_D0,AVG_AMT_LCL_SAVING_D0,score
5218180,S9,MSME,5283496.008456,0.0,10922853,3048000.0,19254349.008456,152866377.0,99399165.7,96866377.0,43399165.7,56000000.0,56000000.0,23.55401
16447605,S9,MSME,7582788.05147,0.0,396000,0.0,7978788.05147,304030745.0,186414440.700001,302944608.0,185332276.366667,1086137.0,1082164.333334,23.954613
18623775,S9,SME,265482.854774,0.0,14126000,0.0,14391482.854774,4847704.0,4923076.099999,3783199.0,3859892.566667,1064505.0,1063183.533332,-29.652474
12088851,S9,MSME,57052.472988,13322554.290444,1000000,0.0,14379606.763432,744098.0,822099.333335,634268.0,712953.333334,109830.0,109146.000001,-86.223495
12560906,S9,SME,4570675.758945,387340988.538006,19210209,0.0,411121873.296951,89260793.5,72845928.493335,88196857.5,71783433.293333,1063936.0,1062495.200002,16.013086
19248104,S9,NONE,7958013.040537,0.0,519365,0.0,8477378.040537,92613345.0,73916044.766667,92613345.0,73916044.766667,,,10.886321
17558768,S9,MSME,20165.290328,0.0,0,0.0,20165.290328,1151320.0,1148056.666666,151320.0,147908.333333,1000000.0,1000148.333333,-121.486595
18211042,S9,MSME,2175.848394,0.0,0,0.0,2175.848394,219661.0,217608.8,,,219661.0,217608.8,-97.176506
19226678,S9,NONE,12951410.550801,0.0,459455,0.0,13410865.550801,433576652.0,390033830.233334,433576652.0,390033830.233334,,,62.032303
16958211,S9,MSME,22788.517812,0.0,0,0.0,22788.517812,1091378.0,1081049.066667,5241.0,5241.0,1086137.0,1075808.066667,-120.792035
11474248,S9,MSME,61705.98632,0.0,1760000,0.0,1821705.98632,1315803.0,1457855.399999,251800.0,395533.333333,1064003.0,1062322.066666,-93.643171
6922411,S9,MSME,39738.329565,0.0,200000,0.0,239738.329565,1001323.0,1785847.566666,1001323.0,1785847.566666,,,-82.816831
7006820,S9,MSME,81455.444825,0.0,600000,0.0,681455.444825,2823478.0,2874583.2,2823478.0,2874583.2,,,-58.469957
6888585,S9,MSME,1536418.034011,0.0,705000,0.0,2241418.034011,40767181.0,21693490.766667,40767181.0,21693490.766667,,,-13.233525
11516780,S9,MSME,15359907.647308,0.0,5246910,0.0,20606817.647308,348255637.0,306751523.366666,346255637.0,306284856.7,2000000.0,466666.666666,57.084779
18533114,S9,SME,43059415.267314,91971671.233042,14100000,0.0,149131086.500356,504656862.0,497746863.733332,504656862.0,497746863.733332,,,86.125549
13821644,S9,NONE,4363746.75622,0.0,396000,0.0,4759746.75622,49859233.0,51247461.4,49859233.0,51247461.4,,,-2.78175
