A,B,C,D,LABEL
1.0,,56168000.0,202792669.0,0
48.0,2713579666.0,3459524304.0,7800896.0,0
,,,,0
18.0,2308557897.0,3900719890.0,,0
,2208116543.0,,1881842.0,0
,595170362302.0,,,0
7.0,85022000.0,679446576.0,5859360.0,0
50.0,2057723106.0,4121001396.0,2459745.0,0
,,,35673.0,0
,,,12819672.0,0
,800000000.0,,21585978.0,0
1.0,176695878.0,176695878.0,586447.0,0
,,,100463.0,0
,,,20885.0,0
35.0,376982360.0,677553849.0,6120423.0,0
,14245000000.0,,,0
,396435000000.0,,227799872.0,0
,,,15619922.0,0
,,,16809727.0,0
,,,139799227.0,0
,11400778395457.0,,,0
,8320000000.0,,28141161.0,0
142.0,16773120076.0,42506929971.0,,0
,,,9605906.0,0
44.0,,8993939506.0,16414.0,0
145.0,25302627311.0,46542901182.0,,0
4.0,907125421.0,1132939629.0,1803129.0,0
,,,3283210.0,0
,7650000000.0,,132338701.0,0
,,,38477.0,0
,52517001832.0,,1273790384.0,0
,89294400.0,,42477340.2,0
,3232318221.0,,662610282.0,0
,1623354751224.0,,,0
,,,3429.0,0
,,,31510993.0,0
,861850616400.0,,9462665.0,0
105.0,3271178000.0,9641163390.0,497390910.0,0
,3186000000.0,,1313652.0,0
,2877000000.0,,13539563.0,0
,829436000000.0,,99434863.0,0
,28620000000.0,,192516309.0,0
21.0,111501500.0,1148474561.0,688725.0,0
,291120000.0,,7787243.0,0
,,,20177383.0,0
,33600000000.0,,453231742.0,0
,,,84263.0,0
,86390000000.0,,3139410.0,0
,6300000000.0,,2940288.0,0
,483367295376.0,,2299782.7,0
,,,81443337.0,0
,300000000.0,,13881857.0,0
22.0,2323116229.0,3841483429.0,196435527.0,0
,,,55876.0,0
,,,0.0,0
2.0,44000000.0,44000000.0,1103063.0,0
,24200000000.0,,588654536.0,0
,1399779200.0,,77648386.0,0
,,,1560646.0,0
3.0,254000000.0,454066000.0,53563521.0,0
141.0,21286276524.0,36238650416.0,4617444.0,0
29.0,5790257016.0,8701844544.0,967248.0,0
21.0,24200000000.0,56100000000.0,3860773777.0,0
10.0,225617000.0,585113000.0,26582034.0,0
10.0,1007988900.0,2959364500.0,82873589.0,0
,,,98804.0,0
,,,29487373.0,0
55.0,156080286743.0,167579809983.0,63051972.0,0
20.0,383736608.0,798754912.0,968345.0,0
,5135000000.0,,211754339.0,0
,911531322000.0,,270748057.0,0
,1639017889547.0,,,0
,,,38832632492.6,0
